SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
Region/Country/Area;Region;Year;Series;Value;
1;Total, all countries or areas;2005;Labour force participation - Total;62.9;
1;Total, all countries or areas;2005;Unemployment rate - Total;6.3;
1;Total, all countries or areas;2005;Labour force participation - Male;76.1;
1;Total, all countries or areas;2005;Unemployment rate - Male;6.2;
1;Total, all countries or areas;2005;Labour force participation - Female;49.8;
1;Total, all countries or areas;2005;Unemployment rate - Female;6.5;
1;Total, all countries or areas;2010;Labour force participation - Total;62.0;
1;Total, all countries or areas;2010;Unemployment rate - Total;6.3;
1;Total, all countries or areas;2010;Labour force participation - Male;75.3;
1;Total, all countries or areas;2010;Unemployment rate - Male;6.3;
1;Total, all countries or areas;2010;Labour force participation - Female;48.9;
1;Total, all countries or areas;2010;Unemployment rate - Female;6.4;
1;Total, all countries or areas;2015;Labour force participation - Total;60.7;
1;Total, all countries or areas;2015;Unemployment rate - Total;6.0;
1;Total, all countries or areas;2015;Labour force participation - Male;73.9;
1;Total, all countries or areas;2015;Unemployment rate - Male;6.0;
1;Total, all countries or areas;2015;Labour force participation - Female;47.6;
1;Total, all countries or areas;2015;Unemployment rate - Female;6.1;
1;Total, all countries or areas;2023;Labour force participation - Total;59.7;
1;Total, all countries or areas;2023;Unemployment rate - Total;5.8;
1;Total, all countries or areas;2023;Labour force participation - Male;72.4;
1;Total, all countries or areas;2023;Unemployment rate - Male;5.7;
1;Total, all countries or areas;2023;Labour force participation - Female;47.2;
1;Total, all countries or areas;2023;Unemployment rate - Female;5.8;
2;Africa;2005;Labour force participation - Total;64.4;
2;Africa;2005;Unemployment rate - Total;6.6;
2;Africa;2005;Labour force participation - Male;74.2;
2;Africa;2005;Unemployment rate - Male;6.3;
2;Africa;2005;Labour force participation - Female;54.9;
2;Africa;2005;Unemployment rate - Female;6.9;
2;Africa;2010;Labour force participation - Total;63.8;
2;Africa;2010;Unemployment rate - Total;6.5;
2;Africa;2010;Labour force participation - Male;73.5;
2;Africa;2010;Unemployment rate - Male;5.8;
2;Africa;2010;Labour force participation - Female;54.3;
2;Africa;2010;Unemployment rate - Female;7.4;
2;Africa;2015;Labour force participation - Total;62.7;
2;Africa;2015;Unemployment rate - Total;6.7;
2;Africa;2015;Labour force participation - Male;72.0;
2;Africa;2015;Unemployment rate - Male;6.3;
2;Africa;2015;Labour force participation - Female;53.6;
2;Africa;2015;Unemployment rate - Female;7.2;
2;Africa;2023;Labour force participation - Total;62.7;
2;Africa;2023;Unemployment rate - Total;7.1;
2;Africa;2023;Labour force participation - Male;71.8;
2;Africa;2023;Unemployment rate - Male;6.6;
2;Africa;2023;Labour force participation - Female;53.8;
2;Africa;2023;Unemployment rate - Female;7.8;
15;Northern Africa;2005;Labour force participation - Total;46.6;
15;Northern Africa;2005;Unemployment rate - Total;12.7;
15;Northern Africa;2005;Labour force participation - Male;71.4;
15;Northern Africa;2005;Unemployment rate - Male;10.6;
15;Northern Africa;2005;Labour force participation - Female;21.7;
15;Northern Africa;2005;Unemployment rate - Female;19.6;
15;Northern Africa;2010;Labour force participation - Total;47.8;
15;Northern Africa;2010;Unemployment rate - Total;10.5;
15;Northern Africa;2010;Labour force participation - Male;72.3;
15;Northern Africa;2010;Unemployment rate - Male;7.5;
15;Northern Africa;2010;Labour force participation - Female;23.1;
15;Northern Africa;2010;Unemployment rate - Female;20.1;
15;Northern Africa;2015;Labour force participation - Total;46.4;
15;Northern Africa;2015;Unemployment rate - Total;13.1;
15;Northern Africa;2015;Labour force participation - Male;69.4;
15;Northern Africa;2015;Unemployment rate - Male;10.2;
15;Northern Africa;2015;Labour force participation - Female;23.2;
15;Northern Africa;2015;Unemployment rate - Female;21.9;
15;Northern Africa;2023;Labour force participation - Total;43.7;
15;Northern Africa;2023;Unemployment rate - Total;11.3;
15;Northern Africa;2023;Labour force participation - Male;67.4;
15;Northern Africa;2023;Unemployment rate - Male;8.5;
15;Northern Africa;2023;Labour force participation - Female;19.9;
15;Northern Africa;2023;Unemployment rate - Female;20.5;
202;Sub-Saharan Africa;2005;Labour force participation - Total;69.8;
202;Sub-Saharan Africa;2005;Unemployment rate - Total;5.3;
