Country name;2015;2016;2017;2018;2019;2020;2021;2022;2023
ACEH;96.47;98.07;97.85;96.75;98.6;98.33;99.44;99.45;99.08
SUMATERA UTARA;92.76;96.61;97.63;95.76;97.12;96.48;98.57;98.74;98.75
SUMATERA BARAT;87.85;90.69;92.67;90.54;91.25;93.26;95.29;97.87;95.81
RIAU;90.44;93.23;94.76;95.39;95.11;95.18;96.91;98.2;98.09
JAMBI;93.12;95.93;95.65;94.62;96.99;95.34;98.54;97.62;97.76
SUMATERA SELATAN;90.27;94.86;95.88;94.02;96.08;95.93;97.82;97.53;97.58
BENGKULU;92.15;93.98;94.23;93.2;93.33;95.16;98.16;97.65;97.1
LAMPUNG;94.46;96.26;96.67;95.39;96.05;97.69;98.33;98.41;98.67
KEP. BANGKA BELITUNG;90.05;89.38;92.36;92.04;92.8;96.05;96.61;96.45;96.01
KEP. RIAU;97.85;94.9;96.28;98.13;95.69;95.25;98.16;98.38;97.92
DKI JAKARTA;96.56;95.32;97.2;95.26;96.05;97.8;99.26;98.58;98.66
JAWA BARAT;92.42;93.75;96.97;97.08;97.92;97.76;98.45;99.08;99.09
JAWA TENGAH;92.91;95.59;96.25;96.15;96.61;97.2;98.06;98.01;98.42
DI YOGYAKARTA;95.98;96.64;96.97;95.12;94.92;96.43;98.48;98.91;98.95
JAWA TIMUR;91.76;94.78;96.1;95.7;96.3;96.81;97.76;98.71;98.78
BANTEN;91.66;94.48;97.56;95.35;96.26;96.03;98.82;97.24;97.15
BALI;96.73;97;97.21;96.4;98.34;96.66;97.02;97.55;98.43
NUSA TENGGARA BARAT;94.4;96.03;96.79;97.59;96.62;97.29;98.71;98.47;98.11
NUSA TENGGARA TIMUR;78.94;84.71;85.07;83.87;87.39;86.92;91.84;92.35;93.41
KALIMANTAN BARAT;83.99;87.93;86;86.44;88.23;91.79;94.29;95.13;95.33
KALIMANTAN TENGAH;93.18;93.75;93.06;93.33;94.66;95.45;97.45;98.51;97.47
KALIMANTAN SELATAN;87.15;93.89;92.49;92.2;91.85;94.1;95.67;94.68;95.99
KALIMANTAN TIMUR;94.65;98.16;96.42;95.32;96.07;95.84;96.82;99.18;97.88
KALIMANTAN UTARA;92.11;92.72;92.04;92.03;93.23;96.38;95.77;96.94;96.41
SULAWESI UTARA;93.41;94.97;95.9;95.48;95.97;95.58;96.1;96.74;96.18
SULAWESI TENGAH;87.06;90.93;92.83;91.44;93.56;95.05;96.19;97.19;97.56
SULAWESI SELATAN;91.18;93.79;94.53;94.05;95.18;96.13;97.3;98.05;98.37
SULAWESI TENGGARA;92.21;95.58;94.16;95.25;94.54;95.28;95.58;97.24;97.83
GORONTALO;85.72;88.98;87.14;88.24;89.04;91.9;93.44;95.12;93.69
SULAWESI BARAT;90.27;90.78;90.29;92.6;91.54;94.7;95.93;97.15;95.13
MALUKU;91.56;93.6;93.98;94.49;94.95;97.47;98.5;98.98;98.69
MALUKU UTARA;92.25;91.83;95.37;95.65;94.66;95.59;96.97;97.72;98.3
PAPUA BARAT;82.45;84.77;85.96;86.46;88.46;89.25;91.81;93.94;92.69
PAPUA;62.34;65.66;74.18;71.83;73.07;78.4;78.43;81.99;80.09
