Country name;2015;2016;2017;2018;2019;2020;2021;2022;2023
ACEH;68.16;74.46;70.64;70.68;69.96;70.07;74.36;70.67;74.46
SUMATERA UTARA;59.54;69.69;67.16;68.34;65.21;70.39;72.81;77.16;74.43
SUMATERA BARAT;58.04;64.97;60.8;65.34;60.32;67.11;70.06;65.96;68.64
RIAU;57.28;62.12;61.9;63.71;58.78;66.62;68.94;66.91;67.79
JAMBI;49.05;60.5;58.27;66.06;56.87;63.66;64.51;65.85;66.62
SUMATERA SELATAN;48.9;55.37;54.15;63.94;58.23;65.42;67.2;67.07;64.81
BENGKULU;55.94;64.31;62.57;58.86;61.47;62.73;62.46;64.88;63.41
LAMPUNG;40.6;47.62;48.75;54.89;54.87;57.59;60.09;62.42;64.54
KEP. BANGKA BELITUNG;43.46;53.84;51.55;55.01;53.84;56.74;63.98;66.87;68.96
KEP. RIAU;65.28;75.93;83.55;82.86;78.14;78.65;81.07;73.93;78.97
DKI JAKARTA;74.1;74.74;78.25;83.48;84.35;85.67;84.98;87.71;88.1
JAWA BARAT;48.53;55.03;48.32;61.04;57.46;63.56;64.89;67.05;66.47
JAWA TENGAH;43.86;44.59;51.52;55.62;49.79;55.82;59.9;58.75;58.35
DI YOGYAKARTA;80.77;79.95;85.53;81.96;84.54;87.99;90.12;87.92;89.69
JAWA TIMUR;52.04;55.13;59.9;62.48;57.74;63.53;66.33;66.87;68.65
BANTEN;52.95;60.83;59.87;67.54;56.94;64.24;66.9;66.02;70.07
BALI;69.08;73.65;74.62;78.67;64.52;74.88;75.86;76.59;76.51
NUSA TENGGARA BARAT;51.83;55.01;59.1;52.6;57.6;64.66;65.71;61;63.66
NUSA TENGGARA TIMUR;37.78;48.95;41.44;43.41;43.85;50.65;44.88;38.47;43.46
KALIMANTAN BARAT;35.69;35.69;42.7;47.66;49.29;55.23;54.27;58.4;55.58
KALIMANTAN TENGAH;47.28;52.42;56.48;53.47;50.01;60.77;61.04;61.88;63.93
KALIMANTAN SELATAN;44.85;52.91;56.75;61.09;59.52;63.05;63.59;67.81;68.35
KALIMANTAN TIMUR;67.56;66.76;67.72;68.73;64.74;71.63;74.26;74;73.63
KALIMANTAN UTARA;47.64;58.6;57.43;58.22;61.1;67.77;62.3;54.8;59.5
SULAWESI UTARA;55.5;72.33;67.46;70.02;67.58;73.79;68.56;66.66;67.57
SULAWESI TENGAH;45.84;61.79;62.73;53.84;52;57.68;61.16;53.73;55.69
SULAWESI SELATAN;50.85;59.56;63.82;56.86;60.97;66.22;69.43;68.32;67.41
SULAWESI TENGGARA;61.52;67.12;67.75;67.67;64.26;68.28;70.65;65.97;68.28
GORONTALO;44.67;50.79;55.3;52.39;50.87;55.35;53.73;45.12;46.19
SULAWESI BARAT;39.29;53.45;56.17;37.65;48.2;56.6;56.22;55.18;54.79
MALUKU;58.59;72.87;73.58;66.42;67.82;70.55;68.12;72.08;75.01
MALUKU UTARA;57.12;64.87;65.14;60.07;59.13;66.52;66.95;67.1;64.61
PAPUA BARAT;55.24;56.12;62.81;60.47;50.95;61.49;59.08;57.07;59.99
PAPUA;28.23;35.69;33.82;29.56;27.44;30.92;32.95;39.01;39.5
