Country name;2015;2016;2017;2018;2019;2020;2021;2022;2023
ACEH;89.01;88.7;89.42;87.15;89.5;90.92;93.43;97.63;94.55
SUMATERA UTARA;80.87;87.97;88.7;87.97;88.26;91.63;91.35;92.84;94.35
SUMATERA BARAT;78.77;82.5;81.11;82.59;84.07;87.12;89.49;88.83;90.65
RIAU;76.54;81.3;85.37;83.45;84.97;86.84;87.11;88.53;90.52
JAMBI;78.04;79.86;84.9;83.29;84.4;86.31;89;86.57;89.35
SUMATERA SELATAN;78.35;82.41;82.59;84.18;83.4;85.02;87.68;88.41;87.95
BENGKULU;78.16;84.21;82.9;86.34;85.13;87.68;89.94;90.81;89.25
LAMPUNG;76.68;79.68;85.02;85.09;84.08;86.66;89.46;90.99;87.67
KEP. BANGKA BELITUNG;70.35;75.77;75.3;79.7;77.96;81.91;80.99;84.72;87.11
KEP. RIAU;88.25;86.92;92.11;90.15;91.56;94.8;92.71;95.72;95.51
DKI JAKARTA;86.79;90.75;91.2;92.8;93.02;94.57;95;95.4;95.85
JAWA BARAT;79.09;84.24;84.64;85.18;85.53;88.17;88.18;89.29;91.42
JAWA TENGAH;78.96;85.93;87.24;86.9;85.47;89;88.44;90.02;90.64
DI YOGYAKARTA;87.41;92.87;92.13;92.66;92.34;92.36;94.94;97.06;97.02
JAWA TIMUR;80.98;84.7;86.2;86.04;86.21;89.98;90.3;90.47;90.74
BANTEN;79.23;82.69;86.82;85.21;87.4;86.7;90.63;92.65;90.86
BALI;85.95;91.99;91.43;93.78;93.33;93.21;94.26;94.15;93.03
NUSA TENGGARA BARAT;84.04;86.91;87.14;87.88;88.64;89.91;92.19;95.39;92.95
NUSA TENGGARA TIMUR;66.62;70.73;70.54;71.42;74.31;78.81;78.83;83.25;82.48
KALIMANTAN BARAT;63.41;72.66;72.54;71.47;72.78;80.88;79.65;81.82;81.56
KALIMANTAN TENGAH;72.59;80.64;76.84;79.87;81.01;84.83;89.76;87.79;88.92
KALIMANTAN SELATAN;72.89;77.25;77.11;84.05;82.77;82.48;84.06;87.95;88.19
KALIMANTAN TIMUR;85.13;86.7;88.31;89.14;86.98;92.4;95.34;95.32;94.85
KALIMANTAN UTARA;83.02;81.96;82.36;82.85;83.85;87.14;90.14;90.55;88.08
SULAWESI UTARA;82.35;88.08;86.01;86.72;85.67;86.69;91.05;91.98;92.07
SULAWESI TENGAH;77.31;80.76;81.72;78.61;82.23;82.79;85.42;88.9;90.05
SULAWESI SELATAN;78.08;82.46;83.01;83.32;83.74;85.08;88.18;90.55;88.74
SULAWESI TENGGARA;82.75;88.06;85.1;86.05;85.46;89.18;90.88;91.19;89.55
GORONTALO;68.81;73.35;73.62;77.41;80.6;80.1;81.22;80.56;83.71
SULAWESI BARAT;75.58;79.45;78.46;78.83;77.68;83.08;86.09;84.14;84.04
MALUKU;86.29;88.43;84.35;86.38;88.43;88.04;93.08;93.65;93.9
MALUKU UTARA;76.39;83.23;83.76;85.39;85.07;87.41;92.93;94.92;93.46
PAPUA BARAT;76.33;76.28;78.31;81.19;80.91;83.47;85.18;87.03;88.63
PAPUA;50.57;54.82;57.86;57.19;59.31;65.75;66.06;66.16;67.12
