;2015;2016;2017;2018;2019;2020;2021;2022;2023;2015;2016;2017;2018;2019;2020;2021;2022;2023;2015;2016;2017;2018;2019;2020;2021;2022;2023
ACEH;96,47;98,07;97,85;96,75;98,6;98,33;99,44;99,45;99,08;89,01;88,7;89,42;87,15;89,5;90,92;93,43;97,63;94,55;68,16;74,46;70,64;70,68;69,96;70,07;74,36;70,67;74,46
SUMATERA UTARA;92,76;96,61;97,63;95,76;97,12;96,48;98,57;98,74;98,75;80,87;87,97;88,7;87,97;88,26;91,63;91,35;92,84;94,35;59,54;69,69;67,16;68,34;65,21;70,39;72,81;77,16;74,43
SUMATERA BARAT;87,85;90,69;92,67;90,54;91,25;93,26;95,29;97,87;95,81;78,77;82,5;81,11;82,59;84,07;87,12;89,49;88,83;90,65;58,04;64,97;60,8;65,34;60,32;67,11;70,06;65,96;68,64
RIAU;90,44;93,23;94,76;95,39;95,11;95,18;96,91;98,2;98,09;76,54;81,3;85,37;83,45;84,97;86,84;87,11;88,53;90,52;57,28;62,12;61,9;63,71;58,78;66,62;68,94;66,91;67,79
JAMBI;93,12;95,93;95,65;94,62;96,99;95,34;98,54;97,62;97,76;78,04;79,86;84,9;83,29;84,4;86,31;89;86,57;89,35;49,05;60,5;58,27;66,06;56,87;63,66;64,51;65,85;66,62
SUMATERA SELATAN;90,27;94,86;95,88;94,02;96,08;95,93;97,82;97,53;97,58;78,35;82,41;82,59;84,18;83,4;85,02;87,68;88,41;87,95;48,9;55,37;54,15;63,94;58,23;65,42;67,2;67,07;64,81
BENGKULU;92,15;93,98;94,23;93,2;93,33;95,16;98,16;97,65;97,1;78,16;84,21;82,9;86,34;85,13;87,68;89,94;90,81;89,25;55,94;64,31;62,57;58,86;61,47;62,73;62,46;64,88;63,41
LAMPUNG;94,46;96,26;96,67;95,39;96,05;97,69;98,33;98,41;98,67;76,68;79,68;85,02;85,09;84,08;86,66;89,46;90,99;87,67;40,6;47,62;48,75;54,89;54,87;57,59;60,09;62,42;64,54
KEP. BANGKA BELITUNG;90,05;89,38;92,36;92,04;92,8;96,05;96,61;96,45;96,01;70,35;75,77;75,3;79,7;77,96;81,91;80,99;84,72;87,11;43,46;53,84;51,55;55,01;53,84;56,74;63,98;66,87;68,96
KEP. RIAU;97,85;94,9;96,28;98,13;95,69;95,25;98,16;98,38;97,92;88,25;86,92;92,11;90,15;91,56;94,8;92,71;95,72;95,51;65,28;75,93;83,55;82,86;78,14;78,65;81,07;73,93;78,97
DKI JAKARTA;96,56;95,32;97,2;95,26;96,05;97,8;99,26;98,58;98,66;86,79;90,75;91,2;92,8;93,02;94,57;95;95,4;95,85;74,1;74,74;78,25;83,48;84,35;85,67;84,98;87,71;88,1
JAWA BARAT;92,42;93,75;96,97;97,08;97,92;97,76;98,45;99,08;99,09;79,09;84,24;84,64;85,18;85,53;88,17;88,18;89,29;91,42;48,53;55,03;48,32;61,04;57,46;63,56;64,89;67,05;66,47
JAWA TENGAH;92,91;95,59;96,25;96,15;96,61;97,2;98,06;98,01;98,42;78,96;85,93;87,24;86,9;85,47;89;88,44;90,02;90,64;43,86;44,59;51,52;55,62;49,79;55,82;59,9;58,75;58,35
DI YOGYAKARTA;95,98;96,64;96,97;95,12;94,92;96,43;98,48;98,91;98,95;87,41;92,87;92,13;92,66;92,34;92,36;94,94;97,06;97,02;80,77;79,95;85,53;81,96;84,54;87,99;90,12;87,92;89,69
JAWA TIMUR;91,76;94,78;96,1;95,7;96,3;96,81;97,76;98,71;98,78;80,98;84,7;86,2;86,04;86,21;89,98;90,3;90,47;90,74;52,04;55,13;59,9;62,48;57,74;63,53;66,33;66,87;68,65
