Indicator;Country;Description;Unit;Base Year;2015;2016;2017;2018;2019;2020;2021;2022
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[A]  - Agriculture, forestry and fishing;billion Dollar (B $);-;00.02;00.02;00.02;00.02;00.02;00.02;00.02;00.03
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[B]  - Mining and quarrying;billion Dollar (B $);-;07.07;06.07;07.03;08.04;08.03;06.05;07.07;09.09
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[C]  - Manufacturing;billion Dollar (B $);-;02.06;01.08;02.01;02.06;02.05;02.06;03.05;05.01
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[D-E]  - Electricity and water supply;billion Dollar (B $);-;00.01;00.02;00.02;00.02;00.02;00.02;00.02;00.02
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[F]  - Construction;billion Dollar (B $);-;00.04;00.04;00.04;00.05;00.05;00.05;00.05;00.04
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dollar (B $);-;00.09;00.09;00.09;00.09;00.09;01.00;01.01;01.01
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[H]  - Transportation and storage;billion Dollar (B $);-;00.03;00.03;00.03;00.03;00.03;00.03;00.03;00.03
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[I]  - Accommodation and food service activities;billion Dollar (B $);-;00.02;00.02;00.02;00.02;00.02;00.02;00.02;00.02
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[J]  - Information and communication;billion Dollar (B $);-;00.04;00.04;00.04;00.04;00.04;00.04;00.05;00.05
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[K]  - Financial and insurance activities;billion Dollar (B $);-;00.09;01.00;01.00;00.09;01.00;00.09;00.09;01.00
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[L-N]  - Real estate, Renting and Business Activities;billion Dollar (B $);-;01.01;01.00;01.00;01.00;01.00;01.00;01.00;01.00
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[O-U]  - Public administration and Other Services Activities;billion Dollar (B $);-;03.02;03.01;03.01;03.02;03.02;03.01;03.02;03.03
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[B1g]  - Equals: GROSS VALUE ADDED;billion Dollar (B $);-;18.01;16.00;17.00;18.06;18.07;16.09;19.01;23.04
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[D21D]  - Plus: Taxes less Subsidies on products;billion Dollar (B $);-;-0.3;-0.2;-0.3;-0.3;-0.3;-0.3;-0.3;-0.4
Tabel 1. GDP by Industry at Current Prices;Brunei Darussalam;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dollar (B $);-;17.08;15.07;16.07;18.03;18.04;16.06;18.08;23.00
Tabel 1. GDP by Industry at Current Prices;Cambodia;[A]  - Agriculture, forestry and fishing;billion Riel;-;19 516.0;20 101.4;20 985.7;21 912.6;22 786.0;24 033.6;25 247.8;26 905.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[B]  - Mining and quarrying;billion Riel;-;983.02.00;1 238.8;1 494.8;1 803.6;2 268.3;2 779.9;3 573.7;4 457.5
Tabel 1. GDP by Industry at Current Prices;Cambodia;[C]  - Manufacturing;billion Riel;-;11 757.7;12 994.8;14 542.3;16 274.9;17 906.7;17 158.3;19 741.8;22 775.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[D-E]  - Electricity and water supply;billion Riel;-;403.08.00;450.05.00;505.04.00;566.09.00;626.08.00;604.07.00;603.02.00;612.03.00
Tabel 1. GDP by Industry at Current Prices;Cambodia;[F]  - Construction;billion Riel;-;7 178.3;9 243.3;11 169.4;13 496.8;16 851.6;16 053.3;16 785.9;18 023.5
Tabel 1. GDP by Industry at Current Prices;Cambodia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Riel;-;6 940.3;7 692.5;8 521.2;9 439.2;10 102.6;9 296.1;9 148.9;9 934.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[H]  - Transportation and storage;billion Riel;-;4 263.9;4 886.5;5 318.4;5 788.5;6 308.5;5 710.4;6 606.3;7 413.7
Tabel 1. GDP by Industry at Current Prices;Cambodia;[I]  - Accommodation and food service activities;billion Riel;-;3 561.8;3 809.3;4 100.3;4 413.4;4 800.1;2 934.7;1 683.3;2 114.9
Tabel 1. GDP by Industry at Current Prices;Cambodia;[J]  - Information and communication;billion Riel;-;1 646.3;1 789.0;1 099.2;2 119.3;2 309.7;2 483.0;2 872.5;3 191.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[K]  - Financial and insurance activities;billion Riel;-;1 389.1;1 555.6;1 741.3;1 949.3;2 148.2;2 246.4;2 349.0;2 482.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[L-N]  - Real estate, Renting and Business Activities;billion Riel;-;4 701.8;5 448.7;6 256.6;7 184.4;7 956.3;7 165.6;6 095.3;6 240.2
Tabel 1. GDP by Industry at Current Prices;Cambodia;[O-U]  - Public administration and Other Services Activities;billion Riel;-;6 743.0;7 222.5;7 797.4;8 418.1;9 113.0;8 921.2;9 013.5;9 595.9
Tabel 1. GDP by Industry at Current Prices;Cambodia;[B1g]  - Equals: GROSS VALUE ADDED;billion Riel;-;69 085.3;76 432.8;83 531.9;93 367.0;103 178.0;99 387.4;103 721.0;113 746.0
Tabel 1. GDP by Industry at Current Prices;Cambodia;[D21D]  - Plus: Taxes less Subsidies on products;billion Riel;-;4 337.4;4 809.0;5 450.7;6 177.3;6 836.1;6 504.4;6 784.7;7 283.9
