T09;Public expenditure on education (as of 2021);;;
Region/Country/Area;Region;Year;Series;Value
4;Afghanistan;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.3
4;Afghanistan;2010;All staff compensation as % of total expenditure in public institutions (%);72.4
4;Afghanistan;2010;Capital expenditure as % of total expenditure in public institutions (%);18.3
4;Afghanistan;2010;Public expenditure on education (% of GDP);3.5
4;Afghanistan;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.0
4;Afghanistan;2015;All staff compensation as % of total expenditure in public institutions (%);71.4
4;Afghanistan;2015;Capital expenditure as % of total expenditure in public institutions (%);19.6
4;Afghanistan;2015;Public expenditure on education (% of GDP);3.3
4;Afghanistan;2019;Basic access to computers by level of education: Primary;9.0
4;Afghanistan;2019;Basic access to computers by level of education: Lower secondary;10
4;Afghanistan;2019;Basic access to computers by level of education: Upper secondary;23
4;Afghanistan;2019;Public expenditure on education (% of GDP);3.2
4;Afghanistan;2020;Public expenditure on education (% of GDP);2.9
8;Albania;2005;Public expenditure on education (% of GDP);3.3
8;Albania;2010;Public expenditure on education (% of GDP);3.4
8;Albania;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.5
8;Albania;2015;All staff compensation as % of total expenditure in public institutions (%);79.5
8;Albania;2015;Capital expenditure as % of total expenditure in public institutions (%);8.1
8;Albania;2015;Public expenditure on education (% of GDP);3.4
8;Albania;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.7
8;Albania;2020;All staff compensation as % of total expenditure in public institutions (%);75.9
8;Albania;2020;Capital expenditure as % of total expenditure in public institutions (%);11.4
8;Albania;2020;Basic access to computers by level of education: Primary;54.3
8;Albania;2020;Basic access to computers by level of education: Lower secondary;100
8;Albania;2020;Basic access to computers by level of education: Upper secondary;100
8;Albania;2020;Public expenditure on education (% of GDP);3.3
8;Albania;2021;Basic access to computers by level of education: Primary;83.0
8;Albania;2021;Basic access to computers by level of education: Lower secondary;83
8;Albania;2021;Basic access to computers by level of education: Upper secondary;67
12;Algeria;2008;Public expenditure on education (% of GDP);4.3
12;Algeria;2022;Basic access to computers by level of education: Primary;57.0
12;Algeria;2022;Basic access to computers by level of education: Lower secondary;92
12;Algeria;2022;Basic access to computers by level of education: Upper secondary;87
16;American Samoa;2006;Capital expenditure as % of total expenditure in public institutions (%);6.2
16;American Samoa;2006;Public expenditure on education (% of GDP);14.7
20;Andorra;2005;Public expenditure on education (% of GDP);1.6
20;Andorra;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.9
20;Andorra;2010;All staff compensation as % of total expenditure in public institutions (%);36.7
20;Andorra;2010;Capital expenditure as % of total expenditure in public institutions (%);1.7
20;Andorra;2010;Public expenditure on education (% of GDP);3.0
20;Andorra;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);59.4
20;Andorra;2013;All staff compensation as % of total expenditure in public institutions (%);40.0
20;Andorra;2013;Capital expenditure as % of total expenditure in public institutions (%);0.6
20;Andorra;2013;Public expenditure on education (% of GDP);2.5
20;Andorra;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);63.6
20;Andorra;2015;Capital expenditure as % of total expenditure in public institutions (%);1.3
20;Andorra;2015;Public expenditure on education (% of GDP);3.3
20;Andorra;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);62.7
20;Andorra;2019;All staff compensation as % of total expenditure in public institutions (%);36.5
20;Andorra;2019;Capital expenditure as % of total expenditure in public institutions (%);0.8
20;Andorra;2019;Basic access to computers by level of education: Primary;100.0
20;Andorra;2019;Basic access to computers by level of education: Lower secondary;100
20;Andorra;2019;Basic access to computers by level of education: Upper secondary;100
20;Andorra;2019;Public expenditure on education (% of GDP);3.2
20;Andorra;2021;Basic access to computers by level of education: Primary;100.0
20;Andorra;2021;Basic access to computers by level of education: Lower secondary;100
20;Andorra;2021;Basic access to computers by level of education: Upper secondary;100
24;Angola;2005;Public expenditure on education (% of GDP);2.1
24;Angola;2006;Capital expenditure as % of total expenditure in public institutions (%);24.3
24;Angola;2006;Public expenditure on education (% of GDP);2.3
24;Angola;2010;Public expenditure on education (% of GDP);3.4
24;Angola;2015;Public expenditure on education (% of GDP);3.1
24;Angola;2016;Basic access to computers by level of education: Primary;7.0
24;Angola;2016;Basic access to computers by level of education: Lower secondary;25
24;Angola;2016;Basic access to computers by level of education: Upper secondary;49
24;Angola;2016;Public expenditure on education (% of GDP);2.8
24;Angola;2021;Public expenditure on education (% of GDP);2.1
660;Anguilla;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.7
660;Anguilla;2005;All staff compensation as % of total expenditure in public institutions (%);80.9
660;Anguilla;2005;Public expenditure on education (% of GDP);3.0
660;Anguilla;2008;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.8
660;Anguilla;2008;All staff compensation as % of total expenditure in public institutions (%);69.4
660;Anguilla;2008;Capital expenditure as % of total expenditure in public institutions (%);20.8
660;Anguilla;2008;Public expenditure on education (% of GDP);2.8
660;Anguilla;2010;Basic access to computers by level of education: Lower secondary;100
660;Anguilla;2010;Basic access to computers by level of education: Upper secondary;100
660;Anguilla;2015;Public expenditure on education (% of GDP);3.0
660;Anguilla;2019;Basic access to computers by level of education: Primary;100.0
660;Anguilla;2019;Basic access to computers by level of education: Lower secondary;100
660;Anguilla;2019;Basic access to computers by level of education: Upper secondary;100
660;Anguilla;2019;Public expenditure on education (% of GDP);2.8
660;Anguilla;2020;Public expenditure on education (% of GDP);4.0
28;Antigua and Barbuda;2002;Public expenditure on education (% of GDP);3.4
28;Antigua and Barbuda;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.6
28;Antigua and Barbuda;2009;All staff compensation as % of total expenditure in public institutions (%);73.2
28;Antigua and Barbuda;2009;Capital expenditure as % of total expenditure in public institutions (%);5.2
28;Antigua and Barbuda;2009;Public expenditure on education (% of GDP);2.5
28;Antigua and Barbuda;2015;Public expenditure on education (% of GDP);2.8
28;Antigua and Barbuda;2018;Basic access to computers by level of education: Primary;90.0
28;Antigua and Barbuda;2018;Basic access to computers by level of education: Lower secondary;100
28;Antigua and Barbuda;2018;Basic access to computers by level of education: Upper secondary;100
28;Antigua and Barbuda;2018;Public expenditure on education (% of GDP);3.5
28;Antigua and Barbuda;2022;Public expenditure on education (% of GDP);4.3
32;Argentina;2005;Public expenditure on education (% of GDP);3.9
32;Argentina;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.4
32;Argentina;2009;All staff compensation as % of total expenditure in public institutions (%);86.6
32;Argentina;2009;Capital expenditure as % of total expenditure in public institutions (%);4.0
32;Argentina;2009;Basic access to computers by level of education: Primary;37.8
32;Argentina;2009;Basic access to computers by level of education: Lower secondary;54
32;Argentina;2009;Basic access to computers by level of education: Upper secondary;77
32;Argentina;2009;Public expenditure on education (% of GDP);5.5
32;Argentina;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.9
32;Argentina;2010;All staff compensation as % of total expenditure in public institutions (%);85.9
32;Argentina;2010;Capital expenditure as % of total expenditure in public institutions (%);4.2
32;Argentina;2010;Public expenditure on education (% of GDP);5.0
32;Argentina;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);7.2
32;Argentina;2015;All staff compensation as % of total expenditure in public institutions (%);82.0
32;Argentina;2015;Capital expenditure as % of total expenditure in public institutions (%);10.8
32;Argentina;2015;Basic access to computers by level of education: Primary;58.7
32;Argentina;2015;Basic access to computers by level of education: Lower secondary;72
32;Argentina;2015;Basic access to computers by level of education: Upper secondary;75
32;Argentina;2015;Public expenditure on education (% of GDP);5.8
